coverage_id,source_page_start,source_page_end,section_number,heading,item_type,treatment,owner_key,render_location,readiness_check,status,review_note
COV-017,9,9,,Invitation to Tender - opening date/time and public opening statement,blank,Generated,tender.opening_datetime,"invitation_to_tender.html - folded into the submission-deadline paragraph (S11.1 item 6), not a separate item",equals submission deadline under the released immediate electronic opening rule,Reviewed,"Resolved 2026-08-28 (Pass 4): rendered together with the submission deadline as 'Submission deadline: ...; Electronic opening: Immediately thereafter', per S11.1's exact 8-item list (opening date/time is not a separate 9th item). tender.opening_datetime remains Generated per S7.3; detailed opening procedure stays in ITT clause 24 (Locked, complete_tender.html)."
COV-018,10,10,,Invitation to Tender - Address for obtaining information / purchasing documents block,blank,Not used by this released pattern,,N/A - superseded by the single governed electronic access channel,N/A - clause not rendered,Reviewed,"STD-TPL-001 v0.3 S11.1 item 4 collapses the print-era 'address for obtaining information/purchasing documents' into one governed electronic access address, already covered by COV-011/COV-013. A separate physical address block is not rendered."
COV-019,10,10,,Invitation to Tender - Address for Submission of Tenders block,blank,Not used by this released pattern,,N/A - superseded by the single governed electronic submission channel,N/A - clause not rendered,Reviewed,"STD-TPL-001 v0.3 S11.1 item 4 collapses the print-era 'address for submission of Tenders' into the single governed KenTender submission channel, already covered by COV-011/COV-013. A separate physical submission address is not rendered."
COV-020,10,10,,Invitation to Tender - Address for Opening of Tenders block,blank,Not used by this released pattern,,N/A - electronic opening has no physical venue,N/A - clause not rendered,Reviewed,"STD-TPL-001 v0.3 S6 (electronic submission and opening) and S7.3 (opening date/time is Generated, immediate electronic opening) mean there is no physical opening venue to name; opening date/time alone is covered by COV-017. A separate physical opening-address block is not rendered."
COV-021,10,10,,Invitation to Tender - Authorized Official name/designation/signature/date block,blank,Generated,tender.approval.official_name; tender.approval.official_title; tender.approval.approved_date; tender.approval.reference,invitation_to_tender.html - accountability/signature block (S11.1 item 8: authorised publication record or governed official block),"final Tender approval record has official name, title, approved date and authentication reference; missing data blocks publication",Reviewed,"Resolved 2026-08-28 (product owner): populate from the final Tender approval record (tender.approval.official_name/official_title/approved_date/reference), not a wet signature or officer field. Missing data blocks publication. Reclassified 2026-08-28 per STD-TPL-001 v0.3 S5.1/S11.1/S14 Pass 2 step 11: render_location moved from complete_tender.html to invitation_to_tender.html (separate publication notice, not part of the issued Tender document)."
COV-022,12,12,Section I,Section I - Instructions to Tenderers (heading and introductory note),heading,Locked,"Section I ITT heading and lead-in text, unmodified",complete_tender.html - Section I heading,"present verbatim, unedited",Reviewed,"Gate D remediation - review sweep: source_page_start/end corrected from 11 to 12 - the ""SECTION I: INSTRUCTIONS TO TENDERERS"" heading text is on source PDF page 12; page 11 contains only the ""PART 1 - TENDERING PROCEDURES"" divider. Rendered HTML content itself is correct and unaffected."
COV-023,12,12,Part A,General Provisions,subheading,Locked,"Section I ITT clause A full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-024,12,12,ITT 1,Scope of Tender,heading,Locked,"Section I ITT clause 1 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-025,12,12,ITT 2,Fraud and Corruption,heading,Locked,"Section I ITT clause 2 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-026,12,14,ITT 3,Eligible Tenderers,heading,Locked,"Section I ITT clause 3 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-027,14,14,ITT 4,Eligible Goods and Related Services,heading,Locked,"Section I ITT clause 4 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-028,14,14,Part B,Contents of Request for Tenders Document,subheading,Locked,"Section I ITT clause B full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-029,14,15,ITT 5,Sections of Tendering Document,heading,Locked,"Section I ITT clause 5 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-030,15,15,ITT 6,Clarification of Tendering Document,heading,Locked,"Section I ITT clause 6 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-031,15,15,ITT 7,Amendment of Tendering Document,heading,Locked,"Section I ITT clause 7 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-032,15,15,Part C,Preparation of Tenders,subheading,Locked,"Section I ITT clause C full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-033,15,15,ITT 8,Cost of Tendering,heading,Locked,"Section I ITT clause 8 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-034,15,16,ITT 9,Language of Tender,heading,Locked,"Section I ITT clause 9 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-035,16,16,ITT 10,Documents Comprising the Tender,heading,Locked,"Section I ITT clause 10 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,"Gate D remediation - review sweep: complete_tender.html line 146 (ITT 10.1(c)) reads ""Tender Security, in accordance with ITT 18.1"" while source reads ""Tender Security or Tender-Securing Declaration, in accordance with ITT 18.1"" - the ""or Tender-Securing Declaration"" alternative is correctly dropped since V1.0 uses Tender Security only (consistent with COV-014/COV-043/COV-227-229), but this row's treatment/readiness_check metadata overstates it as ""unmodified""/""verbatim"". Not a document defect; register metadata description could be tightened but content is correct as rendered."
COV-036,16,16,ITT 11,Form of Tender and Price Schedules,heading,Locked,"Section I ITT clause 11 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-037,16,16,ITT 12,Alternative Tenders,heading,Locked,"Section I ITT clause 12 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-038,16,17,ITT 13,Tender Prices and Discounts,heading,Locked,"Section I ITT clause 13 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,"Gate D remediation - review sweep: condensed-away paragraph found. complete_tender.html line 169 (ITT 13.5) drops the source's enforceable rule that a Tender submitted with an adjustable price quotation ""shall be treated as non-responsive and shall be rejected, pursuant to ITT 28,"" and drops the TDS-override/zero-adjustment fallback mechanics, in favour of a plain ""Prices shall not be adjustable for this Tender"" statement. This is a real content loss (a cross-referenced enforceable obligation, not decorative text), unlike the many other ""[Not applicable - see ITT X.Y]"" resolutions used consistently elsewhere. Flagged as a judgement call rather than auto-fixed because the exact restoration wording (how to phrase the ITT-28 non-responsiveness consequence alongside the fixed-price policy) should be confirmed by a reviewer, not assumed. See open_issues.md Gate D remediation - review sweep findings, item 39. Resolved 2026-08-28 (Gate D second-round decision): Restored ITT 13.5's non-responsiveness/rejection rule verbatim (#39): 'A Tender submitted with an adjustable price quotation shall be treated as non-responsive and shall be rejected, pursuant to ITT 28.' Retained the Version-1.0-specific 'Prices shall not be adjustable for this Tender' sentence alongside it."
COV-039,17,18,ITT 14,Currencies of Tender and Payment,heading,Locked,"Section I ITT clause 14 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,"Gate D remediation - review sweep: complete_tender.html line 200 (ITT 14.2) keeps only ""The Tenderer shall quote in Kenya shillings,"" dropping the source's foreign-currency-option sentence (""If allowed in the TDS, the Tenderer may express the Tender price in any currency...""). Consistent with the documented single-KES-currency policy (cross-confirmed by the ITT 33.2(b) TDS row), so not a document defect - but this row's treatment metadata should be understood as an intentional condensation, not a verbatim carry-through."
COV-040,18,18,ITT 15,Documents Establishing the Eligibility and Conformity of the Goods and Related Services,heading,Locked,"Section I ITT clause 15 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,"Gate D remediation - review sweep: confirmed correct application of the known ""Section VII should read Section V"" fix (source itself misnumbers this cross-reference in ITT 15.2/15.3/15.5); complete_tender.html correctly renders ""Section V, Schedule of Requirements"" in all instances in this row's range."
COV-041,18,18,ITT 16,Documents Establishing the Eligibility and Qualifications of the Tenderer,heading,Locked,"Section I ITT clause 16 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-042,18,19,ITT 17,Period of Validity of Tenders,heading,Locked,"Section I ITT clause 17 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-043,19,19,ITT 18,Tender Security,heading,Locked,"Section I ITT clause 18 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,"ITT 18.3 (source page 21) lists five legally permitted Tender Security instruments at the Tenderer's option: cash, bank guarantee, insurance-company guarantee (registered/licensed by the Insurance Regulatory Authority), letter of credit, and guarantee by a deposit-taking micro-finance institution/Sacco/YEDF/WEF. Section IV only publishes bespoke forms for two of these (Demand Bank Guarantee, Insurance Guarantee - see COV-224/COV-226); the source itself provides no bespoke form for cash, letter of credit, or micro-finance/Sacco/YEDF/WEF guarantees (these follow the instrument issuer's own format or a simple deposit, not a PPRA-published template). See open_issues.md Pass 2 item 10 follow-up."
COV-044,19,20,ITT 19,Format and Signing of Tender,heading,Locked,"Section I ITT clause 19 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-045,20,20,Part D,Submission and Opening of Tenders,subheading,Locked,"Section I ITT clause D full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-046,20,20,ITT 20,Sealing and Marking of Tenders,heading,Locked,"Section I ITT clause 20 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-047,20,21,ITT 21,Deadline for Submission of Tenders,heading,Locked,"Section I ITT clause 21 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-048,21,21,ITT 22,Late Tenders,heading,Locked,"Section I ITT clause 22 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-049,21,21,ITT 23,"Withdrawal, Substitution, and Modification of Tenders",heading,Locked,"Section I ITT clause 23 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-050,21,22,ITT 24,Tender Opening,heading,Locked,"Section I ITT clause 24 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,"Gate D remediation - review sweep: real content substitution found in ITT 24.6. Source requires the Form of Tender and Bills-of-Quantities pages to be initialled by the tender-opening committee, with the number of Procuring-Entity signatories fixed by the TDS. complete_tender.html line 290 instead renders ""the record of the Tender opening shall be signed by the members of the tender opening committee attending the opening,"" which duplicates/conflates with the separately and correctly rendered ITT 24.9 concept (Tenderers' representatives signing ""the record""), and drops the TDS-specified signatory-count requirement entirely with no replacement. Flagged as a judgement call (electronic-equivalent wording needs reviewer confirmation, since there is no physical Form of Tender/BOQ to initial in an all-electronic flow) rather than auto-fixed. See open_issues.md Gate D remediation - review sweep findings, item 40. Resolved 2026-08-28 (Gate D second-round decision): ITT 24.6 rewritten to the electronic equivalent per product-owner decision, citing PPADA s.78 (#40): all appointed Tender Opening Committee members (not less than three) electronically authenticate each Tender's opening record and the final opening minutes. Fixed at 'not less than three', not a TDS-configurable signatory count."
COV-051,22,22,Part E,Evaluation and Comparison of Tenders,subheading,Locked,"Section I ITT clause E full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-052,22,22,ITT 25,Confidentiality,heading,Locked,"Section I ITT clause 25 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-053,22,22,ITT 26,Clarification of Tenders,heading,Locked,"Section I ITT clause 26 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-054,22,22,ITT 27,"Deviations, Reservations, and Omissions",heading,Locked,"Section I ITT clause 27 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-055,22,23,ITT 28,Determination of Responsiveness,heading,Locked,"Section I ITT clause 28 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,"Gate D remediation - review sweep: ITT 28.1 (Determination of Responsiveness) dropped the definition sentence ""A substantially responsive Tender is one that meets the requirements of the tendering document without material deviation, reservation, or omission."" Unambiguous, low-risk, source-verbatim fix - restored directly in complete_tender.html."
COV-056,23,23,ITT 29,"Non-conformities, Errors and Omissions",heading,Locked,"Section I ITT clause 29 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-057,23,23,ITT 30,Correction of Arithmetical Errors,heading,Locked,"Section I ITT clause 30 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-058,23,23,ITT 31,Conversion to Single Currency,heading,Locked,"Section I ITT clause 31 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-059,24,24,ITT 32,Margin of Preference and Reservations,heading,Locked,"Section I ITT clause 32 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-060,24,25,ITT 33,Evaluation of Tenders,heading,Locked,"Section I ITT clause 33 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,"Gate D remediation - review sweep: ITT 33.5 (Evaluation of Tenders, tax treatment) condenses away the source's a)/b) split distinguishing Kenya-manufactured-goods sales tax from imported-goods customs/import duties - a real content loss relevant to an IT-equipment tender likely to include imported hardware. See open_issues.md Gate D remediation - review sweep findings, item 41. Resolved 2026-08-28 (Gate D second-round decision): Restored the Kenya-manufactured vs. imported tax/duty distinction (#41) via the unified Price Schedule - Goods table's Import status and applicable duty/tax columns, rather than three separate officer-configurable schedules."
COV-061,25,25,ITT 34,Comparison of Tenders,heading,Locked,"Section I ITT clause 34 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-062,25,25,ITT 35,Abnormally Low Tenders,heading,Locked,"Section I ITT clause 35 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-063,25,25,ITT 36,Abnormally High Tenders,heading,Locked,"Section I ITT clause 36 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-064,26,26,ITT 37,Post-Qualification of the Tenderer,heading,Locked,"Section I ITT clause 37 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-065,26,26,ITT 38,Lowest Evaluated Tender,heading,Locked,"Section I ITT clause 38 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-066,26,26,ITT 39,"Procuring Entity's Right to Accept Any Tender, and to Reject Any or All Tenders",heading,Locked,"Section I ITT clause 39 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-067,26,26,Part F,Award of Contract,subheading,Locked,"Section I ITT clause F full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-068,26,26,ITT 40,Award Criteria,heading,Locked,"Section I ITT clause 40 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-069,26,26,ITT 41,Procuring Entity's Right to Vary Quantities at Time of Award,heading,Locked,"Section I ITT clause 41 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-070,26,26,ITT 42,Notice of Intention to Enter into a Contract,heading,Locked,"Section I ITT clause 42 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-071,26,27,ITT 43,Standstill Period,heading,Locked,"Section I ITT clause 43 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-072,27,27,ITT 44,Debriefing by the Procuring Entity,heading,Locked,"Section I ITT clause 44 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-073,27,27,ITT 45,Letter of Award,heading,Locked,"Section I ITT clause 45 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-074,27,27,ITT 46,Signing of Contract,heading,Locked,"Section I ITT clause 46 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-075,27,27,ITT 47,Performance Security,heading,Locked,"Section I ITT clause 47 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-076,27,27,ITT 48,Publication of Procurement Contract,heading,Locked,"Section I ITT clause 48 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-077,27,27,ITT 49,Procurement Related Complaints and Administrative Review,heading,Locked,"Section I ITT clause 49 full text, unmodified",complete_tender.html - Section I - Instructions to Tenderers,"present verbatim, unedited, cross-references to TDS/ITT resolve correctly",Reviewed,
COV-078,73,73,Section VI,Section VI - General Conditions of Contract (heading and introductory note),heading,Locked,"Section VI GCC heading and lead-in text, unmodified",complete_tender.html - Section VI heading,"present verbatim, unedited",Reviewed,
COV-079,73,73,GCC 1,Definitions,heading,Locked,"Section VI GCC clause 1 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-080,73,74,GCC 2,Interpretation,heading,Locked,"Section VI GCC clause 2 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
