form_id,official_form_name,source_pages,included,variant_selected,fixed_text_complete,prefilled_keys,supplier_fields,award_fields,review_status,review_note
FORM-PS-KENYA,"Price Schedule - Goods (unified: Kenya-manufactured, already-imported and to-be-imported)",58,TRUE,"Single unified schedule covering all three origin/import scenarios with applicable duty/tax/local-content columns, per line item - not three separate officer-configurable schedules (Gate D #41)",TRUE,goods,Unit price per goods row (values not rendered at Tender issuance; collected at bid submission),N/A,Reviewed,"Per coverage register COV-221; row skeleton generated from the goods_rows loop, no price values in insertion_points.csv per the issuance-time scope decision recorded in open_issues.md Pass 3. Gate D remediation - review sweep: form located in complete_tender.html, full content compared word-for-word against source (source_pages column); wording, fields, and signature/witness blocks match source with no unauthorised drops or substitutions. Updated 2026-08-28 (Gate D second round, #41): merged the Group C (imported) schedules' distinguishing columns (customs duties/import taxes, CIP pricing, inland transport) into this single schedule rather than restoring them as separate forms."
FORM-PS-SERVICES,Price and Completion Schedule - Related Services,58,TRUE,"N/A - single form, conditional on related services",TRUE,related_services,Unit price per related-service row (values not rendered at Tender issuance; collected at bid submission),N/A,Reviewed,"Per coverage register COV-222; rendered only when requisition.related_services_authorized is TRUE (S8.2). Gate D remediation - review sweep: form located in complete_tender.html, full content compared word-for-word against source (source_pages column); wording, fields, and signature/witness blocks match source with no unauthorised drops or substitutions."
FORM-TS-BANK,Form of Tender Security - Option 1: Demand Bank Guarantee,59,TRUE,Both (supplier's choice),TRUE,"tender.reference,tender.tender_security.currency,tender.tender_security.amount,tender.validity_date","Applicant identity and guarantee number, completed by the supplier's issuing bank",N/A,Reviewed,"Per coverage register COV-224-COV-225 and open_issues.md Pass 2 item 10: ITT 18.3 permits five Tender Security instruments at the Tenderer's option; both published Section IV forms are retained as active, Locked, always-published forms. Not a Procuring-Entity-side release choice. Gate D remediation - review sweep: form located in complete_tender.html, full content compared word-for-word against source (source_pages column); wording, fields, and signature/witness blocks match source with no unauthorised drops or substitutions."
FORM-TS-INSURANCE,Form of Tender Security - Option 2: Insurance Guarantee,60-61,TRUE,Both (supplier's choice),TRUE,"tender.reference,tender.tender_security.currency,tender.tender_security.amount,tender.validity_date","Applicant identity and guarantee number, completed by the supplier's issuing insurer",N/A,Reviewed,"Per coverage register COV-226 and open_issues.md Pass 2 item 10; published unconditionally alongside FORM-TS-BANK. Gate D remediation - review sweep: form located in complete_tender.html, full content compared word-for-word against source (source_pages column); wording, fields, and signature/witness blocks match source with no unauthorised drops or substitutions."
FORM-TSD,Form of Tender-Securing Declaration,61-62,FALSE,N/A - not published,N/A,,N/A - not published,N/A,Reviewed - confirmed excluded,"Per coverage register COV-227-COV-229 and open_issues.md Pass 2 item 7: Version 1.0 uses a monetary Tender Security (KES 300,000 per S13 fixture), not a Tender-Securing Declaration; this is an inactive competing variant per S6 and is excluded from complete_tender.html. Gate D remediation - review sweep: confirmed genuinely absent from complete_tender.html (searched by form name/heading, no match) and from invitation_to_tender.html; exclusion rationale re-checked and coherent."
FORM-MAF,Manufacturer's Authorization Form,62-63,TRUE,"N/A - single form, conditional",TRUE,"tender.reference,procuring_entity.name",Manufacturer name/goods/factory address/signature blanks,N/A,Reviewed,"Per coverage register COV-230-COV-233; included only when submission.manufacturer_authorisation_required is TRUE; Alternative No. field not rendered (Alternative Tenders not permitted, S6). Gate D remediation - review sweep: form located in complete_tender.html, full content compared word-for-word against source (source_pages column); wording, fields, and signature/witness blocks match source with no unauthorised drops or substitutions."
FORM-N1-NOTIFY,Form No. 1 - Notification of Intention to Award,89-91,TRUE,N/A - single form,TRUE,"procuring_entity.name,tender.title,tender.reference,procuring_entity.contact_office","N/A - Tenderer-facing but completed by the Procuring Entity at award, not by the bidding supplier during Tender Preparation",Successful tenderer name/address/contract price; other-tenderers price comparison table; Standstill Period dates,Reviewed,"Per coverage register COV-269-COV-274; award-stage content is Award-derived and has no insertion_points.csv key in this release - see open_issues.md Pass 3 (no S7/S13 basis, and the 'other tenderers' comparison table has no permitted repeating `kind`). Gate D remediation - review sweep: confirmed present and content-verified against source lines 4390-4489. Found the remaining gap flagged in open_issues.md item 34 (four essential complaint requirements, 'no need to have requested a debriefing first' sentence, debriefing-extension fallback, late-debriefing-request fallback, and the Standstill-Period-extension cross-reference) still missing from the render. Fixed directly in complete_tender.html (restored this content, adapted to house style: Procuring Entity terminology, 3/5 Business Day figures and 14 Day Standstill Period already established elsewhere in this form) since it is a verbatim/near-verbatim restoration of omitted source text, not a judgement call."
FORM-N2-REVIEW,Form No. 2 - Request for Review (Public Procurement Administrative Review Board form),92,TRUE,N/A - single form,TRUE,,N/A - completed only by an aggrieved Tenderer outside KenTender's Tender Preparation flow,N/A,Reviewed,"Per coverage register COV-275; fixed statutory wording, no Tender-specific prefill. Gate D remediation - review sweep: form located in complete_tender.html, full content compared word-for-word against source (source_pages column); wording, fields, and signature/witness blocks match source with no unauthorised drops or substitutions."
FORM-N3-AWARD,Form No. 3 - Letter of Award,93,TRUE,N/A - single form,TRUE,"procuring_entity.name,tender.title,tender.reference",N/A,"Supplier name/address, contract number, accepted amount",Reviewed,"Per coverage register COV-276-COV-277; award/contract values are Award-derived and have no insertion_points.csv key in this release - see open_issues.md Pass 3. Gate D remediation - review sweep: form located in complete_tender.html, full content compared word-for-word against source (source_pages column); wording, fields, and signature/witness blocks match source with no unauthorised drops or substitutions."
FORM-N4-AGREEMENT,Form No. 4 - Contract Agreement,94-95,TRUE,N/A - single form,TRUE,"procuring_entity.name,tender.title,tender.reference",N/A,"Date, Procuring Entity/Supplier identity and address, signatures",Reviewed,"Per coverage register COV-278-COV-279; award/contract-formation values are Award-derived with no insertion_points.csv key in this release - see open_issues.md Pass 3. Gate D remediation - review sweep: form located in complete_tender.html, full content compared word-for-word against source (source_pages column); wording, fields, and signature/witness blocks match source with no unauthorised drops or substitutions."
FORM-N5-PERF-BANK,"Form No. 5 - Performance Security, Option 1: Unconditional Demand Bank Guarantee",96-97,TRUE,Unconditional Demand Bank Guarantee (contract.performance_security.form_variant fixed),TRUE,contract.performance_security.percentage,N/A,Beneficiary/amount/expiry blanks,Reviewed,"Per coverage register COV-280-COV-281; this is the selected variant per S6/GCC18.3 (COV-282 excludes the competing Performance Bond, Form No. 6). Amount/expiry populated only at award/contract-formation stage - Award-derived, no insertion_points.csv key in this release. Gate D remediation - review sweep: form located in complete_tender.html, full content compared word-for-word against source (source_pages column); wording, fields, and signature/witness blocks match source with no unauthorised drops or substitutions."
FORM-N6-PERF-BOND,"Form No. 6 - Performance Security, Option 2: Performance Bond",97-98,FALSE,N/A - not published,N/A,,N/A - not published,N/A,Reviewed - confirmed excluded,"Per coverage register COV-282: source itself recommends the Unconditional Demand Bank Guarantee over the Performance Bond 'due to difficulties involved in calling Bond holder to action'; S6 requires selecting one performance-security variant and not publishing the unused competing form. Gate D remediation - review sweep: confirmed genuinely absent from complete_tender.html (searched by form name/heading, no match) and from invitation_to_tender.html; exclusion rationale re-checked and coherent."
FORM-N7-ADVANCE,Form No. 7 - Advance Payment Security (Demand Bank Guarantee),99,FALSE,N/A - not published,N/A,,N/A - not published,N/A,Reviewed - confirmed excluded,"Per coverage register COV-283 and open_issues.md Pass 2 item 9: Version 1.0 fixes advance payment at 0% as a release decision; this form is excluded entirely and never shown to the Procurement Officer or supplier. Gate D remediation - review sweep: confirmed genuinely absent from complete_tender.html (searched by form name/heading, no match) and from invitation_to_tender.html; exclusion rationale re-checked and coherent."
FORM-N8-BENEFICIAL,Form No. 8 - Beneficial Ownership Disclosure Form,99-101,TRUE,N/A - single form,TRUE,"tender.reference,tender.title,procuring_entity.name","N/A - completed only by the successful Tenderer after notification of award, not by all bidding suppliers during Tender Preparation",Option I/II/III disclosure text and beneficial-owner details table; signatory/date/stamp block,Reviewed,"Per coverage register COV-284-COV-288; instruction box 'DELETE THIS BOX ONCE COMPLETED' removed from the resolved output (COV-285); award-stage completion content is Award-derived with no insertion_points.csv key in this release. Gate D remediation - review sweep: form located in complete_tender.html, full content compared word-for-word against source (source_pages column); wording, fields, and signature/witness blocks match source with no unauthorised drops or substitutions."
