key,kind,source_treatment,source_section,owner,task,label,data_type,required,condition,validation,example,downstream_use
plan_item.reference,value,Inherited,S7.1,Requisition,,Plan Item reference,text,TRUE,,Internal lineage only,PLAN-KEBS-2026-014,Internal audit/lineage record; not rendered in invitation_to_tender.html or complete_tender.html supplier-facing text (S7.1: 'not unnecessary public text')
requisition.reference,value,Inherited,S7.1,Requisition,,Requisition reference,text,TRUE,,Internal lineage only,REQ-KEBS-2026-ICT-0001,Internal audit/lineage record; not rendered in invitation_to_tender.html or complete_tender.html supplier-facing text (S7.1: 'not unnecessary public text')
goods,goods_rows,Generated,S8.1,System,Task 2 Goods and delivery,"Goods and delivery schedule (repeating rows: description, quantity, unit, destination, latest delivery date, minimum warranty)",repeating_table,TRUE,,"One row per authorised goods line; total quantity reconciles with the Requisition; item number is rendered via loop.index, not a named key; the row also carries a static 'Offered delivery date' column left blank for later supplier completion (not a Jinja value in this release)","Business laptops / 25 each / KEBS Coast Region Office, Mombasa / 30 Dec 2026 / 36 months",Section V.1 goods schedule; Form of Tender clause (d) conformity summary; Price Schedule (Goods) row skeleton; SCC GCC28.3 warranty rows
related_services,service_rows,Generated,S8.2,System,Task 2 Goods and delivery,"Related services and completion schedule (repeating rows: description, quantity, unit, place of performance, completion date)",repeating_table,FALSE,requisition.related_services_authorized,"Rendered only when requisition.related_services_authorized is TRUE; service number is rendered via loop.index, not a named key; supplier-price column left blank (not a Jinja value in this release)","Installation and configuration / 1 lot / KEBS Coast Region Office, Mombasa / 15 Dec 2026",Section V.2 related-services schedule; Price and Completion Schedule (Related Services) row skeleton; SCC GCC25.2 incidental services
platform.name,value,Generated,"S6.1 (Gate C addition, product owner 2026-08-28)",Governed platform data,,Platform name,text,TRUE,,Fixed governed value; not officer-editable,KenTender,Invitation to Tender S11.1 item 4; TDS ITT 1.2(a) e-Procurement system identity (complete_tender.html)
platform.public_url,value,Generated,"S6.1 (Gate C addition, product owner 2026-08-28)",Governed platform data,,Platform public URL,text,TRUE,,Fixed governed value; reused for both the e-Procurement system address and electronic document access per Gate C decision - no separate publication-URL field,https://tenders.kentender.example.go.ke,Invitation to Tender electronic-access paragraph (S11.1 item 4); TDS ITT 1.2(a) e-Procurement system address (complete_tender.html)
tender.approval.official_name,value,Generated,"S6.1 (Gate C addition, product owner 2026-08-28)",Tender approval record,,Authorised official name,text,TRUE,,Sourced from the final Tender approval record; not a wet signature or officer-entered field,Jane Wanjiru,Invitation to Tender accountability block (S11.1 item 8)
tender.approval.official_title,value,Generated,"S6.1 (Gate C addition, product owner 2026-08-28)",Tender approval record,,Authorised official title,text,TRUE,,Sourced from the final Tender approval record,Head of Procurement,Invitation to Tender accountability block (S11.1 item 8)
tender.approval.approved_date,value,Generated,"S6.1 (Gate C addition, product owner 2026-08-28)",Tender approval record,,Tender approval date,date,TRUE,,Sourced from the final Tender approval record,2026-10-08,Invitation to Tender accountability block (S11.1 item 8)
tender.approval.reference,value,Generated,"S6.1 (Gate C addition, product owner 2026-08-28)",Tender approval record,,Tender approval / authentication reference,text,TRUE,,Sourced from the final Tender approval record; replaces a wet-ink signature,APR-KEBS-2026-0001,Invitation to Tender accountability block (S11.1 item 8)
