key,kind,source_treatment,source_section,owner,task,label,data_type,required,condition,validation,example,downstream_use
submission.additional_evidence.linked_requirement,value,Officer value,S7.2 Submission/evaluation; S9.3,Procurement Officer,Task 4 Submission and evaluation,The visible published requirement the additional evidence proves,text,FALSE,submission.additional_evidence.required,Must reference a requirement actually published elsewhere in the Tender; an unexplained item fails curation review (S9.3),N/A,Evidence checklist entry
contract.payment_terms,value,Officer value,S7.2 Contract terms,Procurement Officer,Task 5 Contract terms,Payment timing (descriptive rule),text,TRUE,,"Must not offer an advance-payment option (fixed at 0%, open_issues.md Pass 2 item 9)","Within 30 days after delivery, inspection, acceptance and a valid invoice",SCC GCC16.1
contract.payment_days,value,Officer value,S7.2 Contract terms,Procurement Officer,Task 5 Contract terms,Payment period in days,number,TRUE,,,30,SCC GCC16.1
contract.performance_security.required,condition,Officer value,S7.2 Contract terms,Procurement Officer,Task 5 Contract terms,Performance Security required,boolean,TRUE,,,TRUE,TDS ITT47.3; SCC GCC18.1
contract.performance_security.percentage,value,Officer value,S7.2 Contract terms,Procurement Officer,Task 5 Contract terms,Performance Security percentage,number,FALSE,contract.performance_security.required,,10,TDS ITT47.3; SCC GCC18.1; Form No. 5 prefill
contract.performance_security.form_variant,value,Locked,S6; S10,System,,Performance Security form variant,enum,TRUE,,Fixed to 'Unconditional Demand Bank Guarantee' for Version 1.0; the competing Performance Bond variant (Form No. 6) is not published (COV-282),Unconditional Demand Bank Guarantee,SCC GCC18.3; determines which Section VIII performance-security form is published
contract.delay_damages.rate_per_week,value,Officer value,S7.2 Contract terms,Procurement Officer,Task 5 Contract terms,Delay damages rate per week (%),number,TRUE,,Within released limits,0.5,SCC GCC27.1
contract.delay_damages.cap_percent,value,Officer value,S7.2 Contract terms,Procurement Officer,Task 5 Contract terms,Delay damages cap (%),number,TRUE,,Within released limits,10,SCC GCC27.1
contract.inspection_acceptance_office,value,Officer value,S7.2 Contract terms,Procurement Officer,Task 5 Contract terms,Inspection and acceptance office/location,text,TRUE,,,"Ministry of Health Headquarters, Afya House, Nairobi",Section V.5 inspections and tests; SCC GCC26.1/26.2
contract.contact_office,value,Officer value,S7.2 Contract terms,Procurement Officer,Task 5 Contract terms,Contract contact office,text,TRUE,,"Must be a governed office, not a private contact (S10)",Ministry of Health Procurement Office,SCC GCC8.1 contract notices
tender.reference,value,Generated,S7.3,System,,Tender reference,text,TRUE,,Unique per the released naming rule,TND-MOH-2027-033,Cover page; Invitation; TDS; all forms
tender.opening_datetime,value,Generated,S7.3,System,,Tender opening date/time,datetime,TRUE,,Equals tender.submission_deadline under the immediate electronic opening rule,"5 June 2027, 11:00 EAT",Invitation opening paragraph; TDS ITT24.1
tender.validity_date,value,Generated,S7.3,System,,Tender/security validity date,date,TRUE,,"Derived from tender.submission_deadline, tender.validity_days and the official extra period",3 October 2027,Form of Tender Security expiry prefill
tender.tender_security.bank_guarantee_expiry_date,value,Generated,S7.3,System,,Bank Guarantee tender security expiry date,date,TRUE,,"Computed as tender.validity_date + thirty (30) calendar days per ITT 18.4; never officer-entered",2 November 2027,Form of Tender Security - Option 1 (Demand Bank Guarantee) expiry clause
tender.tender_security.insurance_guarantee_expiry_date,value,Generated,S7.3,System,,Insurance Guarantee tender security expiry date,date,TRUE,,"Computed as tender.validity_date + twenty-eight (28) calendar days per the Insurance Guarantee form's own terms; never officer-entered",31 October 2027,Form of Tender Security - Option 2 (Insurance Guarantee) expiry clause
plan_item.reference,value,Inherited,S7.1,Requisition,,Plan Item reference,text,TRUE,,Internal lineage only,PLN-MOH-2027-001,Internal audit/lineage record; not rendered in invitation_to_tender.html or complete_tender.html supplier-facing text (S7.1: 'not unnecessary public text')
requisition.reference,value,Inherited,S7.1,Requisition,,Requisition reference,text,TRUE,,Internal lineage only,REQ-MOH-2027-033-001,Internal audit/lineage record; not rendered in invitation_to_tender.html or complete_tender.html supplier-facing text (S7.1: 'not unnecessary public text')
goods,goods_rows,Generated,S8.1,System,Task 2 Goods and delivery,"Goods and delivery schedule (repeating rows: description, quantity, unit, destination, latest delivery date, minimum warranty)",repeating_table,TRUE,,"One rendered line per group of authorised Requisition items sharing one specification (STD-TPL-001 v0.5 S8.4(2)); each line carries every contributing requisition_item_id in goods.source_item_ids; the sum of line quantities reconciles with the Requisition; item number is rendered via loop.index, not a named key; the row also carries a static 'Offered delivery date' column left blank for later supplier completion (not a Jinja value in this release)","Business laptops / 250 Each (RQI-001, RQI-002) / Ministry of Health Headquarters, Afya House, Nairobi / 30 Sep 2027 / 36 months",Section V.1 goods schedule; Form of Tender clause (d) conformity summary; Price Schedule (Goods) row skeleton; SCC GCC28.3 warranty rows
related_services,service_rows,Inherited,S8.2; S8.4,Requisition,,"Related services and completion schedule (repeating rows: service_requirement_id, service_type, required_result, applies_to, completion_date, acceptance_evidence - inherited from the authorised Requisition handoff v1.3)",repeating_table,FALSE,requisition.related_services_authorized,"Rendered only when requisition.related_services_authorized is TRUE; service number is rendered via loop.index; every row keeps its stable service_requirement_id; supplier price and offered completion date are supplier responses (not Jinja values)","SVC-001 / Installation and configuration / Devices imaged and asset-tagged / All items / 30 Sep 2027 / Installation report",Section V.2 related-services schedule; Section IV Related Services Confirmation; Price and Completion Schedule (Related Services) row skeleton; Form of Tender clause (d); SCC GCC25.2 incidental services
platform.name,value,Generated,"S6.1 (Gate C addition, product owner 2026-08-28)",Governed platform data,,Platform name,text,TRUE,,Fixed governed value; not officer-editable,KenTender,Invitation to Tender S11.1 item 4; TDS ITT 1.2(a) e-Procurement system identity (complete_tender.html)
platform.public_url,value,Generated,"S6.1 (Gate C addition, product owner 2026-08-28)",Governed platform data,,Platform public URL,text,TRUE,,Fixed governed value; reused for both the e-Procurement system address and electronic document access per Gate C decision - no separate publication-URL field,https://tenders.kentender.example.go.ke,Invitation to Tender electronic-access paragraph (S11.1 item 4); TDS ITT 1.2(a) e-Procurement system address (complete_tender.html)
tender.approval.official_name,value,Generated,"S6.1 (Gate C addition, product owner 2026-08-28)",Tender approval record,,Authorised official name,text,TRUE,,Sourced from the final Tender approval record; not a wet signature or officer-entered field,Charles Mutiso,Invitation to Tender accountability block (S11.1 item 8)
tender.approval.official_title,value,Generated,"S6.1 (Gate C addition, product owner 2026-08-28)",Tender approval record,,Authorised official title,text,TRUE,,Sourced from the final Tender approval record,Head of Procurement,Invitation to Tender accountability block (S11.1 item 8)
tender.approval.approved_date,value,Generated,"S6.1 (Gate C addition, product owner 2026-08-28)",Tender approval record,,Tender approval date,date,TRUE,,Sourced from the final Tender approval record,2026-10-08,Invitation to Tender accountability block (S11.1 item 8)
tender.approval.reference,value,Generated,"S6.1 (Gate C addition, product owner 2026-08-28)",Tender approval record,,Tender approval / authentication reference,text,TRUE,,Sourced from the final Tender approval record; replaces a wet-ink signature,TND-MOH-2027-033-V2,Invitation to Tender accountability block (S11.1 item 8)
goods.source_item_ids,value,Generated,S8.1; S8.4(2),System,Task 2 Goods and requirements,Contributing Requisition item ID(s) (per rendered line),text,TRUE,,"Every requisition_item_id grouped into the line, comma-separated; lineage back to the authorised Requisition","RQI-001, RQI-002",Section V.1 goods schedule lineage column
reservation.category,value,Inherited,S6.1; S7.1,Requisition,,Reservation category (inherited from the Plan Item through the handoff),enum,TRUE,,"One of None, Youth, Women, Persons with disabilities, Other disadvantaged group; any other value fails the compatibility test before rendering",None,Section III reserved-procurement clause (rendered only when not None); Invitation eligibility statement
technical_requirements,technical_rows,Inherited,S8.4,Requisition,,"Technical requirements (repeating rows: technical_requirement_id, label, comparison, required_value, unit, applies_to, evidence_required - inherited from the authorised Requisition handoff v1.3)",repeating_table,TRUE,,"One row per technical_requirement_id; never edited in Tender Preparation; every row has one supplier response, one evaluation mapping and one contract mapping","TECH-003 / Memory / Minimum / 16 / GB / All items / Required",Section V.3 technical requirements; Section IV Technical Compliance Response
technical_requirements.technical_requirement_id,value,Inherited,S8.4,Requisition,,Stable technical requirement ID (per row),text,TRUE,,Matches the handoff row ID exactly,TECH-003,Section V.3; Section IV Technical Compliance Response
technical_requirements.label,value,Inherited,S8.4,Requisition,,Requirement label (per row),text,TRUE,,Catalogue label of the characteristic,Memory,Section V.3; Section IV Technical Compliance Response
technical_requirements.comparison,value,Inherited,S8.4,Requisition,,Comparison rule (per row),enum,TRUE,,"Minimum, Maximum, Exact, Required or One of",Minimum,Section V.3; Section IV Technical Compliance Response
technical_requirements.required_value,value,Inherited,S8.4,Requisition,,Required value display (per row),text,TRUE,,Human-readable projection of the handoff required_value_json,16,Section V.3; Section IV Technical Compliance Response
technical_requirements.unit,value,Inherited,S8.4,Requisition,,Unit (per row; may be empty),text,FALSE,,Rendered after the value only when present,GB,Section V.3; Section IV Technical Compliance Response
technical_requirements.applies_to,value,Inherited,S8.4,Requisition,,Applies to (per row),text,TRUE,,"All items, or the item name the row applies to",All items,Section V.3; Section IV Technical Compliance Response
technical_requirements.evidence_required,condition,Officer value,S9.3; TPR-CHG-001 S8.4,Procurement Officer,Task 4 Submission and evaluation,Evidence reference required for this requirement (per row),boolean,TRUE,,Derived from the Task 4 datasheet switch and any additional evidence row linked to the requirement,TRUE,Section IV Technical Compliance Response evidence-reference column
warranty_support.minimum_warranty_months,value,Inherited,S7.1; S8.4,Requisition,,Minimum warranty in months (package level),number,TRUE,,Carried once from the handoff; not duplicated as a technical row,36,Section V.4; Section III 4.2 warranty confirmation; Section IV Technical Compliance Response confirmation; SCC GCC28.3
warranty_support.onsite_support_required,condition,Inherited,S7.1; S8.4,Requisition,,On-site support required,boolean,TRUE,,,TRUE,Section V.4
warranty_support.maximum_support_response_hours,value,Inherited,S7.1; S8.4,Requisition,,Maximum support response in hours,number,TRUE,,,8,Section V.4
warranty_support.manufacturer_support_required,condition,Inherited,S7.1; S8.4,Requisition,,Manufacturer-backed support required,boolean,TRUE,,,TRUE,Section V.4
warranty_support.service_location_constraint,value,Inherited,S7.1; S8.4,Requisition,,Service location constraint,text,TRUE,,,Within Kenya,Section V.4
warranty_support.support_description,value,Inherited,S7.1; S8.4,Requisition,,Support arrangements description,text,TRUE,,,Supplier to provide escalation and warranty-contact details.,Section V.4
acceptance_requirements,acceptance_rows,Inherited,S8.4; S10,Requisition,,"Acceptance requirements (repeating rows: acceptance_requirement_id, check_type, pass_condition, evidence_type, applies_to - inherited from the authorised Requisition handoff v1.3)",repeating_table,TRUE,,"One row per acceptance_requirement_id; each row is a contract obligation and a condition of acceptance","ACC-001 / Quantity / Delivered quantities equal the authorised schedule / Inspection record / All items",Section V.6 acceptance requirements; Section IV Acceptance Requirements Confirmation; SCC GCC26.1
supporting_materials,material_rows,Inherited,S8.4(3),Requisition,,"Supporting materials (repeating rows: supporting_material_id, title, document_type, treatment, linked_requirement_ids - inherited from the authorised Requisition handoff v1.3)",repeating_table,FALSE,,"Rendered only when the handoff carries at least one material; each material links to a published requirement ID and never adds a requirement; digest verified at readiness, never rendered","MAT-001 / Deployment site list / Site report / Published with the Tender / TECH-010",Section V.5 drawings and supporting materials
